id,car_name,yr_mfr,fuel_type,kms_run,sale_price,body_type,transmission,make,model,total_owners,orginal_price,reserved,warranty_avail,paint,damage,no_of_service,bs
58,maruti swift dzire,2013,diesel,110484,411073,sedan,manual,maruti,swift dzire,1,420978,FALSE,FALSE,Yes,No,5,5
59,honda amaze,2014,petrol,78097,334421,sedan,manual,honda,amaze,2,394858,FALSE,FALSE,No,Yes,0,4
60,maruti ritz,2012,diesel,100995,239086,hatchback,manual,maruti,ritz,1,309316,FALSE,FALSE,Yes,No,3,4
61,maruti ritz,2012,diesel,123546,232954,hatchback,manual,maruti,ritz,1,265875,FALSE,FALSE,No,No,5,3
62,hyundai elite i20,2015,diesel,110531,403487,hatchback,manual,hyundai,elite i20,1,510888,FALSE,FALSE,No,Yes,0,1
63,hyundai creta,2018,diesel,78027,1207483,suv,automatic,hyundai,creta,2,1353239,FALSE,FALSE,No,No,0,5
64,maruti swift,2012,diesel,129639,330694,hatchback,manual,maruti,swift,1,407349,FALSE,FALSE,No,No,5,3
65,maruti swift,2009,petrol & cng,118559,232522,hatchback,manual,maruti,swift,2,,FALSE,FALSE,No,No,3,5
66,maruti swift,2012,diesel,156680,314710,hatchback,manual,maruti,swift,1,369214,FALSE,FALSE,No,No,4,4
67,maruti wagon r 1.0,2010,petrol & cng,176287,241998,hatchback,manual,maruti,wagon r 1.0,1,,FALSE,FALSE,No,No,5,5
68,honda amaze,2015,diesel,123934,290351,sedan,manual,honda,amaze,2,375600,FALSE,FALSE,Yes,Yes,0,2
69,audi q3,2014,diesel,66027,1359037,luxury suv,,audi,q3,1,,FALSE,FALSE,Yes,No,2,5
70,hyundai creta,2015,diesel,88375,781901,suv,,hyundai,creta,1,784484,FALSE,FALSE,No,Yes,3,1
71,maruti swift dzire,2012,diesel,180639,315219,sedan,manual,maruti,swift dzire,1,,FALSE,FALSE,No,Yes,4,2
72,hyundai elite i20,2015,diesel,116697,515519,hatchback,manual,hyundai,elite i20,1,,FALSE,FALSE,Yes,Yes,5,1
73,maruti vitara brezza,2016,diesel,111613,604960,suv,manual,maruti,vitara brezza,1,665540,FALSE,FALSE,Yes,No,4,3
74,honda amaze,2014,diesel,98992,305758,sedan,manual,honda,amaze,1,345663,FALSE,FALSE,No,No,2,2
75,hyundai elite i20,2017,diesel,148526,540538,hatchback,manual,hyundai,elite i20,1,665464,FALSE,FALSE,No,No,4,1
76,toyota corolla altis,2014,diesel,103033,715436,luxury sedan,manual,toyota,corolla altis,1,740263,FALSE,FALSE,No,Yes,4,4
77,maruti swift,2013,diesel,194203,269894,hatchback,manual,maruti,swift,1,348373,FALSE,FALSE,Yes,Yes,2,3
78,audi q3,2014,diesel,90959,1159018,luxury suv,,audi,q3,1,1190401,FALSE,FALSE,No,No,4,1
79,toyota innova,2015,diesel,111562,844899,suv,manual,toyota,innova,1,1002280,FALSE,FALSE,Yes,No,4,1
80,renault scala,2013,diesel,219642,264299,sedan,manual,renault,scala,1,284657,FALSE,FALSE,No,Yes,2,3
81,maruti wagon r 1.0,2015,petrol,11343,344945,hatchback,manual,maruti,wagon r 1.0,1,461494,FALSE,FALSE,Yes,No,3,5
82,maruti alto 800,2019,petrol & cng,2510,346599,hatchback,manual,maruti,alto 800,1,465496,FALSE,FALSE,No,Yes,4,1
83,maruti alto k10,2013,petrol,21784,228189,hatchback,manual,maruti,alto k10,2,298179,FALSE,FALSE,Yes,Yes,1,4
84,renault kwid,2019,petrol,4279,368494,hatchback,manual,renault,kwid,1,369795,FALSE,FALSE,No,No,3,5
85,maruti dzire,2019,petrol,11393,521764,sedan,manual,maruti,dzire,1,687831,FALSE,FALSE,No,Yes,3,3
86,maruti alto k10,2019,petrol,11221,354518,hatchback,,maruti,alto k10,1,456959,FALSE,FALSE,Yes,No,2,2
87,honda city,2010,petrol,47405,360799,sedan,manual,honda,city,1,449780,FALSE,FALSE,Yes,No,3,2
88,maruti swift,2013,petrol,43803,359854,hatchback,manual,maruti,swift,1,442758,FALSE,FALSE,No,Yes,3,4
89,hyundai eon,2013,petrol,24955,248818,hatchback,manual,hyundai,eon,1,291889,FALSE,FALSE,No,No,5,5
90,maruti alto 800,2016,petrol,34451,272998,hatchback,manual,maruti,alto 800,1,343353,FALSE,FALSE,No,Yes,5,5
91,renault kwid,2016,petrol,40154,213999,hatchback,manual,renault,kwid,1,292706,FALSE,FALSE,Yes,No,1,4
92,renault kwid,2016,petrol,37916,229417,hatchback,manual,renault,kwid,1,298281,FALSE,FALSE,Yes,Yes,4,4
93,hyundai grand i10,2017,petrol,25826,478925,hatchback,,hyundai,grand i10,1,500118,FALSE,FALSE,No,Yes,1,2
94,hyundai grand i10,2017,petrol & cng,38901,495301,hatchback,,hyundai,grand i10,1,,FALSE,FALSE,No,No,3,4
95,maruti wagon r 1.0,2012,petrol,39131,230669,hatchback,manual,maruti,wagon r 1.0,1,273045,FALSE,FALSE,Yes,Yes,4,5
96,renault duster,2013,diesel,28769,450053,suv,manual,renault,duster,1,539773,FALSE,FALSE,No,Yes,3,1
97,maruti alto k10,2018,petrol,3212,366791,hatchback,manual,maruti,alto k10,1,,FALSE,FALSE,Yes,Yes,2,1
98,hyundai eon,2016,petrol,14776,278199,hatchback,manual,hyundai,eon,1,339745,FALSE,FALSE,Yes,Yes,5,5
99,maruti swift,2013,diesel,50647,356284,hatchback,manual,maruti,swift,2,,FALSE,FALSE,No,Yes,3,4
100,hyundai elite i20,2019,petrol,21556,565586,hatchback,,hyundai,elite i20,1,713835,FALSE,FALSE,Yes,Yes,4,5
101,maruti swift,2013,petrol,48461,370599,hatchback,manual,maruti,swift,1,,FALSE,FALSE,Yes,No,4,1
102,maruti swift,2012,diesel,62476,330094,hatchback,manual,maruti,swift,1,441640,FALSE,FALSE,No,Yes,5,4
103,tata tiago,2017,diesel,85779,358990,hatchback,manual,tata,tiago,2,360490,FALSE,FALSE,No,No,3,5
104,hyundai creta,2015,petrol,20087,831733,suv,manual,hyundai,creta,2,1031683,FALSE,FALSE,No,Yes,1,5
105,hyundai i10,2011,petrol,59431,234778,hatchback,manual,hyundai,i10,1,273652,FALSE,FALSE,No,No,4,1
106,toyota etios liva,2013,petrol,40911,315006,hatchback,manual,toyota,etios liva,2,369892,FALSE,FALSE,No,No,2,5
107,maruti ertiga,2019,petrol,8326,951030,suv,,maruti,ertiga,1,1159741,FALSE,FALSE,No,No,3,3
108,hyundai i20,2011,petrol,71538,261832,hatchback,manual,hyundai,i20,1,273632,FALSE,FALSE,No,Yes,3,4
109,datsun redi go,2016,petrol,28840,225826,hatchback,manual,datsun,redi go,1,,FALSE,FALSE,Yes,No,5,2
110,maruti celerio,2015,petrol,53095,390498,hatchback,manual,maruti,celerio,1,397043,FALSE,FALSE,No,No,5,5
111,hyundai i20,2012,diesel,59922,262579,hatchback,manual,hyundai,i20,1,283736,FALSE,FALSE,Yes,Yes,3,2
112,honda wr-v,2018,petrol,28290,745393,suv,manual,honda,wr-v,1,952726,FALSE,FALSE,No,No,0,5
113,maruti baleno,2017,petrol,34205,539962,hatchback,manual,maruti,baleno,1,566262,FALSE,FALSE,No,No,4,2
114,maruti swift,2015,petrol,57972,395256,hatchback,manual,maruti,swift,3,496834,FALSE,FALSE,No,No,2,5
115,maruti swift,2008,petrol,61909,221377,hatchback,manual,maruti,swift,1,254699,FALSE,FALSE,No,No,4,5
116,mahindra xuv500,2012,diesel,49367,527888,luxury suv,manual,mahindra,xuv500,3,551302,FALSE,FALSE,No,No,5,5
117,mahindra xuv500,2014,diesel,64950,572678,luxury suv,manual,mahindra,xuv500,2,653577,FALSE,FALSE,No,No,0,3
118,maruti sx4,2010,petrol,61261,235227,sedan,manual,maruti,sx4,1,267736,FALSE,FALSE,Yes,No,5,1
119,honda amaze,2013,diesel,72461,298385,sedan,manual,honda,amaze,1,,FALSE,FALSE,Yes,Yes,4,5
120,maruti swift,2013,diesel,67011,365606,hatchback,manual,maruti,swift,1,432939,FALSE,FALSE,No,Yes,3,1
121,hyundai elite i20,2015,petrol,53171,490006,hatchback,manual,hyundai,elite i20,1,570231,FALSE,FALSE,No,Yes,3,4
122,hyundai grand i10,2017,petrol,93152,358909,hatchback,,hyundai,grand i10,1,474810,FALSE,FALSE,Yes,Yes,3,2
123,volkswagen polo,2011,petrol,59541,266846,hatchback,manual,volkswagen,polo,2,,FALSE,FALSE,Yes,Yes,3,4
124,maruti zen estilo,2011,petrol,89510,188399,hatchback,manual,maruti,zen estilo,1,221714,FALSE,FALSE,No,Yes,4,1
125,tata tiago,2016,petrol,55538,380962,hatchback,manual,tata,tiago,1,,FALSE,FALSE,No,No,3,3
126,mahindra scorpio,2015,diesel,50968,849164,suv,manual,mahindra,scorpio,1,1060255,FALSE,FALSE,No,No,2,4
127,toyota innova crysta,2017,diesel,42841,1514166,suv,manual,toyota,innova crysta,1,1812770,FALSE,FALSE,No,No,5,2
128,volkswagen polo,2013,petrol,65942,294995,hatchback,manual,volkswagen,polo,1,352381,FALSE,FALSE,Yes,Yes,0,3
129,mahindra scorpio,2016,diesel,59831,1026774,suv,manual,mahindra,scorpio,1,,FALSE,FALSE,Yes,Yes,3,1
130,hyundai creta,2016,petrol,61582,741907,suv,manual,hyundai,creta,2,859388,FALSE,FALSE,No,Yes,5,3
131,mahindra scorpio,2016,diesel,61330,979263,suv,manual,mahindra,scorpio,2,1221011,FALSE,FALSE,Yes,Yes,4,1
132,ford figo,2012,diesel,58699,242422,hatchback,manual,ford,figo,1,,FALSE,FALSE,No,No,1,3
133,maruti swift,2009,petrol,96354,253656,hatchback,manual,maruti,swift,2,277044,FALSE,FALSE,No,No,5,1
134,mitsubishi outlander,2009,petrol,95127,294815,luxury suv,manual,mitsubishi,outlander,3,318915,FALSE,FALSE,Yes,Yes,5,1
135,hyundai verna,2014,diesel,81676,530908,sedan,manual,hyundai,verna,1,653499,FALSE,FALSE,Yes,No,3,4
136,hyundai verna,2014,diesel,84334,505592,sedan,manual,hyundai,verna,1,603236,FALSE,FALSE,Yes,No,2,2
137,volkswagen ameo,2017,diesel,73768,500887,sedan,manual,volkswagen,ameo,1,524187,FALSE,FALSE,No,No,1,2
138,maruti zen estilo,2010,petrol,65057,215268,hatchback,manual,maruti,zen estilo,1,,FALSE,FALSE,Yes,No,5,3
139,maruti alto k10,2012,petrol,89988,204335,hatchback,manual,maruti,alto k10,2,,FALSE,FALSE,Yes,Yes,5,4
140,maruti celerio,2016,petrol & cng,100780,383379,hatchback,manual,maruti,celerio,2,,FALSE,FALSE,No,No,4,3
141,honda brio,2013,petrol,90659,256426,hatchback,manual,honda,brio,2,286837,FALSE,FALSE,Yes,No,5,2
142,hyundai santro xing,2013,petrol,79800,211871,hatchback,manual,hyundai,santro xing,1,,FALSE,FALSE,Yes,Yes,4,2
143,maruti swift dzire,2012,petrol,90220,273445,sedan,manual,maruti,swift dzire,1,350199,FALSE,FALSE,Yes,Yes,2,2
144,ford ecosport,2013,diesel,99113,404837,suv,manual,ford,ecosport,1,509094,FALSE,FALSE,No,Yes,2,1
145,mahindra xuv500,2014,diesel,60070,678417,luxury suv,manual,mahindra,xuv500,1,803800,FALSE,FALSE,Yes,No,1,1
146,nissan terrano,2014,diesel,110471,464408,suv,manual,nissan,terrano,1,533339,FALSE,FALSE,No,Yes,3,1
147,honda amaze,2014,petrol,86304,368244,sedan,manual,honda,amaze,1,395499,FALSE,FALSE,Yes,No,3,3
148,maruti ritz,2010,petrol,108338,242338,hatchback,manual,maruti,ritz,1,306575,FALSE,FALSE,No,No,3,2
149,hyundai i20,2012,diesel,122256,296405,hatchback,manual,hyundai,i20,1,352283,FALSE,FALSE,Yes,No,1,3
150,toyota etios,2015,petrol,168109,334207,sedan,manual,toyota,etios,1,413599,FALSE,FALSE,No,Yes,4,2
151,maruti ertiga,2012,diesel,186207,435797,suv,manual,maruti,ertiga,1,489391,FALSE,FALSE,Yes,No,3,1
152,volkswagen vento,2013,diesel,192715,351353,sedan,manual,volkswagen,vento,1,416630,FALSE,FALSE,Yes,Yes,1,2
153,toyota corolla altis,2014,petrol,134937,781454,luxury sedan,manual,toyota,corolla altis,1,940797,FALSE,FALSE,Yes,No,4,5
154,audi q3,2013,diesel,114155,1008165,luxury suv,automatic,audi,q3,2,1129699,FALSE,FALSE,Yes,Yes,3,1
155,hyundai creta,2016,diesel,124714,794235,suv,,hyundai,creta,1,962507,FALSE,FALSE,Yes,No,1,1
156,audi a6,2013,diesel,107465,1178651,luxury sedan,automatic,audi,a6,2,1508223,FALSE,FALSE,No,Yes,1,2
157,toyota fortuner,2013,diesel,154297,1201777,luxury suv,automatic,toyota,fortuner,1,1498550,FALSE,FALSE,Yes,Yes,4,5
158,toyota innova,2014,diesel,214389,637877,suv,manual,toyota,innova,1,,FALSE,FALSE,No,No,2,1
159,maruti celerio,2015,petrol & cng,158356,325890,hatchback,manual,maruti,celerio,1,,FALSE,FALSE,No,No,0,3
160,maruti swift,2015,petrol,27191,380430,hatchback,manual,maruti,swift,1,481739,TRUE,FALSE,Yes,No,5,4
161,maruti alto 800,2017,petrol,15581,260275,hatchback,manual,maruti,alto 800,1,273462,TRUE,FALSE,No,Yes,1,5
162,maruti swift dzire,2011,petrol,15248,259384,sedan,manual,maruti,swift dzire,1,318859,TRUE,FALSE,No,No,1,1
163,maruti alto k10,2018,petrol,17599,338550,hatchback,manual,maruti,alto k10,1,,TRUE,FALSE,No,Yes,5,1
164,mahindra scorpio,2013,diesel,34861,506799,suv,manual,mahindra,scorpio,1,515799,TRUE,FALSE,No,Yes,3,2
165,maruti swift,2019,petrol,9218,545567,hatchback,manual,maruti,swift,1,563243,TRUE,FALSE,Yes,No,0,1
166,hyundai grand i10,2019,petrol,7794,508265,hatchback,manual,hyundai,grand i10,1,516196,TRUE,FALSE,Yes,Yes,4,5
167,datsun redi go,2018,petrol,14537,272341,hatchback,,datsun,redi go,1,355438,TRUE,FALSE,No,Yes,1,2
168,maruti swift,2013,diesel,45994,341855,hatchback,manual,maruti,swift,1,398974,TRUE,FALSE,Yes,Yes,2,4
169,hyundai i10,2010,petrol,55388,192403,hatchback,manual,hyundai,i10,2,242042,TRUE,FALSE,Yes,No,2,4
170,maruti sx4,2010,petrol,51871,231053,sedan,,maruti,sx4,1,,TRUE,FALSE,Yes,Yes,3,4
171,maruti ritz,2011,petrol,41762,225035,hatchback,manual,maruti,ritz,1,244381,TRUE,FALSE,Yes,Yes,1,3
172,mahindra tuv300,2016,diesel,37219,507379,suv,automatic,mahindra,tuv300,1,619627,TRUE,FALSE,Yes,Yes,1,1
173,hyundai elite i20,2020,petrol,11146,554110,hatchback,,hyundai,elite i20,1,700326,TRUE,FALSE,No,No,2,2
174,honda city,2014,petrol,48845,514584,sedan,manual,honda,city,1,679865,TRUE,FALSE,No,Yes,0,2
175,maruti new  wagon-r,2019,petrol,21000,377814,,,maruti,new  wagon-r,1,379223,TRUE,FALSE,Yes,Yes,4,1
176,honda amaze,2017,petrol,37426,419429,sedan,manual,honda,amaze,1,538931,TRUE,FALSE,Yes,Yes,0,3
177,renault kwid,2018,petrol,31537,281159,hatchback,manual,renault,kwid,1,282542,TRUE,FALSE,Yes,No,3,1
178,hyundai i10,2010,petrol,68453,176243,hatchback,manual,hyundai,i10,1,204864,TRUE,FALSE,Yes,No,2,4
179,honda city,2017,petrol & cng,28074,807430,sedan,manual,honda,city,1,,TRUE,FALSE,Yes,No,5,2
180,hyundai xcent,2014,diesel,68235,261914,sedan,manual,hyundai,xcent,2,281577,TRUE,FALSE,Yes,Yes,2,3
181,maruti swift dzire,2013,diesel,67411,257924,sedan,manual,maruti,swift dzire,1,331123,TRUE,FALSE,Yes,Yes,0,5
182,maruti swift dzire,2012,diesel,80671,322655,sedan,manual,maruti,swift dzire,1,,TRUE,FALSE,No,Yes,0,1
183,maruti ritz,2009,petrol,48907,193084,hatchback,manual,maruti,ritz,1,206853,TRUE,FALSE,Yes,No,5,2
184,maruti ertiga,2015,diesel,57933,585682,suv,manual,maruti,ertiga,2,,TRUE,FALSE,Yes,No,2,5
185,hyundai i20,2009,petrol,86251,175299,hatchback,manual,hyundai,i20,2,241839,TRUE,FALSE,Yes,Yes,5,5
186,maruti alto,2019,petrol & cng,50244,307131,hatchback,manual,maruti,alto,2,374747,TRUE,FALSE,No,Yes,0,3
187,maruti alto k10,2014,petrol & cng,70930,280294,hatchback,manual,maruti,alto k10,1,287747,TRUE,FALSE,No,Yes,4,3
188,maruti wagon r 1.0,2012,petrol & cng,83630,225465,hatchback,manual,maruti,wagon r 1.0,1,226223,TRUE,FALSE,Yes,No,5,3
189,hyundai verna,2018,diesel,38712,921014,sedan,automatic,hyundai,verna,1,1161698,TRUE,FALSE,No,Yes,0,2
190,maruti vitara brezza,2017,diesel,39663,703103,suv,manual,maruti,vitara brezza,1,840284,TRUE,FALSE,Yes,Yes,5,1
191,hyundai verna,2017,diesel,38307,815318,sedan,manual,hyundai,verna,1,841006,TRUE,FALSE,No,No,4,5
192,mahindra tuv300,2015,diesel,71692,602782,suv,automatic,mahindra,tuv300,2,739033,TRUE,FALSE,No,No,0,4
193,hyundai verna,2019,diesel,25800,855266,sedan,,hyundai,verna,1,889293,TRUE,FALSE,Yes,No,5,1
194,maruti ertiga,2012,diesel,89257,432186,suv,manual,maruti,ertiga,1,523098,TRUE,FALSE,No,Yes,5,3
195,hyundai elite i20,2018,petrol & cng,42277,534172,hatchback,manual,hyundai,elite i20,1,549760,TRUE,FALSE,No,No,0,2
196,maruti vitara brezza,2018,diesel,28572,780799,suv,manual,maruti,vitara brezza,1,981835,TRUE,FALSE,No,Yes,2,3
197,ford ecosport,2018,petrol,11844,807022,suv,manual,ford,ecosport,1,860675,TRUE,FALSE,No,Yes,4,3
198,maruti ertiga,2012,diesel,81227,372987,suv,manual,maruti,ertiga,2,425210,TRUE,FALSE,Yes,Yes,4,4
199,hyundai verna,2012,diesel,84027,277633,sedan,manual,hyundai,verna,2,286468,TRUE,FALSE,Yes,Yes,4,4
200,maruti xl6,2019,petrol,10643,938602,suv,,maruti,xl6,2,996478,TRUE,FALSE,No,No,4,3
201,tata harrier,2019,diesel,50873,1254965,suv,,tata,harrier,1,,TRUE,FALSE,Yes,No,0,3
202,honda city,2014,diesel,74867,524788,sedan,manual,honda,city,2,527013,TRUE,FALSE,No,No,0,2
203,honda civic,2010,petrol,86619,289590,sedan,automatic,honda,civic,2,341731,TRUE,FALSE,No,No,5,1
204,maruti swift,2009,petrol,89564,173557,hatchback,manual,maruti,swift,2,226111,TRUE,FALSE,Yes,Yes,5,3
205,hyundai verna,2014,diesel,75854,512713,sedan,manual,hyundai,verna,1,645760,TRUE,FALSE,No,Yes,5,5
206,honda brio,2014,petrol,76938,262943,hatchback,manual,honda,brio,1,338662,TRUE,FALSE,Yes,Yes,1,5
207,hyundai i10,2015,petrol & cng,87634,297599,hatchback,manual,hyundai,i10,1,,TRUE,FALSE,Yes,No,1,4
208,mercedes benz cla class,2016,diesel,19492,2178668,luxury sedan,manual,mercedes benz,cla class,2,2209209,TRUE,FALSE,No,No,5,1
209,maruti baleno,2016,diesel,81175,521956,hatchback,manual,maruti,baleno,1,665207,TRUE,FALSE,Yes,Yes,3,4
210,hyundai i10,2012,petrol,88696,198791,hatchback,manual,hyundai,i10,1,259535,TRUE,FALSE,No,Yes,1,3
211,honda amaze,2018,diesel,56926,564200,sedan,manual,honda,amaze,1,721719,TRUE,FALSE,No,Yes,2,2
212,maruti ciaz,2018,diesel,57860,801006,sedan,manual,maruti,ciaz,1,1013774,TRUE,FALSE,Yes,No,5,4
213,mahindra kuv100,2016,diesel,99569,263636,suv,manual,mahindra,kuv100,1,324047,TRUE,FALSE,No,Yes,1,3
214,honda city,2009,petrol,133196,199880,sedan,,honda,city,2,,TRUE,FALSE,Yes,No,1,3
215,maruti eeco,2017,petrol & cng,105847,297540,suv,manual,maruti,eeco,1,,TRUE,FALSE,No,No,2,4
216,maruti alto,2009,petrol & cng,109466,112358,hatchback,manual,maruti,alto,2,155752,TRUE,FALSE,No,No,4,2
217,audi a3,2016,petrol,76749,1647033,luxury sedan,automatic,audi,a3,1,2036563,TRUE,FALSE,Yes,No,0,4
218,maruti swift dzire,2013,petrol,95093,303028,sedan,manual,maruti,swift dzire,1,393710,TRUE,FALSE,No,No,1,4
219,mahindra xuv500,2014,diesel,82866,509240,luxury suv,manual,mahindra,xuv500,2,,TRUE,FALSE,Yes,No,4,2
